"","sample_me","core","depth","code","lake","dna","lat","lon","weigth_dry_g","weight_accumul_g","sed_rate","date_weight","date_final","how_dated","date_trusted","date_error","C_N_measured_estimated","LoI","carbonate","TOC_percent","TN_percent","X13C_12C","X15N_14N","DDE_2.4","DDE_4.4","DDD_2.4","DDD_4.4","DDT_2.4","DDT_4.4","a.HCH","b.HCH","d.HCH","g.HCH","HCB","TF","Al","As","Ca","Cd","Co","Cr","Cu","Fe","K","Mg","Mn","Mo","Na","Ni","P","Pb","S","Zn","C_N_ratio","S_Fe","LoI_Al","carbonate_Al","TOC_percent_Al","TN_percent_Al","X13C_12C_Al","X15N_14N_Al","DDE_2.4_Al","DDE_4.4_Al","DDD_2.4_Al","DDD_4.4_Al","DDT_2.4_Al","DDT_4.4_Al","a.HCH_Al","b.HCH_Al","d.HCH_Al","g.HCH_Al","HCB_Al","TF_Al","Al_Al","As_Al","Ca_Al","Cd_Al","Co_Al","Cr_Al","Cu_Al","Fe_Al","K_Al","Mg_Al","Mn_Al","Mo_Al","Na_Al","Ni_Al","P_Al","Pb_Al","S_Al","Zn_Al","LoI_Mg","carbonate_Mg","TOC_percent_Mg","TN_percent_Mg","X13C_12C_Mg","X15N_14N_Mg","DDE_2.4_Mg","DDE_4.4_Mg","DDD_2.4_Mg","DDD_4.4_Mg","DDT_2.4_Mg","DDT_4.4_Mg","a.HCH_Mg","b.HCH_Mg","d.HCH_Mg","g.HCH_Mg","HCB_Mg","TF_Mg","Al_Mg","As_Mg","Ca_Mg","Cd_Mg","Co_Mg","Cr_Mg","Cu_Mg","Fe_Mg","K_Mg","Mg_Mg","Mn_Mg","Mo_Mg","Na_Mg","Ni_Mg","P_Mg","Pb_Mg","S_Mg","Zn_Mg","ddt","ddt_Al","ddt_Mg","hch","hch_Al","hch_Mg"
"1","AR02_010","AR02",10,"AR","Arendsee","AR1.010",11.460285,52.888519,2.55,2.55,NA,2015,2014.128644,"intra","yes",NA,"measured",28.46,71.62,23.1,2.52,-25.6,4.3,0,1.46,0,0,0,0,0,0,0,0,0,0,1955,2.9,211238,0.22,1.85,4.11,13.72,4620,1037,1931,618,1.15,531.93,6.79,1338.14,11.38,6095,59.02,10.6899925068687,2.29765482451433,0.0145575447570332,0.0366342710997443,0.0118158567774936,0.00128900255754476,-0.0130946291560102,0.00219948849104859,0,0.000746803069053708,0,0,0,0,0,0,0,0,0,0,1,0.00148337595907928,108.050127877238,0.000112531969309463,0.000946291560102302,0.00210230179028133,0.00701790281329923,2.36317135549872,0.530434782608696,0.98772378516624,0.316112531969309,0.000588235294117647,0.272086956521739,0.00347314578005115,0.684470588235294,0.00582097186700767,3.11764705882353,0.0301892583120205,0.014738477472812,0.0370895908855515,0.0119627136198861,0.00130502330398757,-0.0132573795960642,0.00222682547902641,0,0.000756084930088037,0,0,0,0,0,0,0,0,0,0,1.01242879337131,0.00150181253236665,109.393060590368,0.000113930605903677,0.000958052822371828,0.00212843086483687,0.00710512687726567,2.39254272397721,0.537027446918695,1,0.320041429311238,0.000595546349041947,0.275468669083376,0.00351631279129984,0.69297773174521,0.00589331952356292,3.15639564992232,0.0305644743656137,1.46,0.000746803069053708,0.000756084930088037,0,0,0
"2","AR02_020","AR02",20,"AR","Arendsee","AR1.020",11.460285,52.888519,3.13,5.68,NA,2014,2012.13995,"intra","yes",NA,"measured",28.46,71.715,23.1,2.245,-25.25,4.45,0,2.375,0,0,0,0,0,0,0,0,0,0,1955,2.9,211238,0.22,1.85,4.11,13.72,4620,1037,1931,618,1.15,531.93,6.79,1338.14,11.38,6095,59.02,11.9994570678437,2.29765482451433,0.0145575447570332,0.0366828644501279,0.0118158567774936,0.00114833759590793,-0.0129156010230179,0.00227621483375959,0,0.00121483375959079,0,0,0,0,0,0,0,0,0,0,1,0.00148337595907928,108.050127877238,0.000112531969309463,0.000946291560102302,0.00210230179028133,0.00701790281329923,2.36317135549872,0.530434782608696,0.98772378516624,0.316112531969309,0.000588235294117647,0.272086956521739,0.00347314578005115,0.684470588235294,0.00582097186700767,3.11764705882353,0.0301892583120205,0.014738477472812,0.0371387881926463,0.0119627136198861,0.00116261004660798,-0.0130761263593993,0.0023045054375971,0,0.00122993267736924,0,0,0,0,0,0,0,0,0,0,1.01242879337131,0.00150181253236665,109.393060590368,0.000113930605903677,0.000958052822371828,0.00212843086483687,0.00710512687726567,2.39254272397721,0.537027446918695,1,0.320041429311238,0.000595546349041947,0.275468669083376,0.00351631279129984,0.69297773174521,0.00589331952356292,3.15639564992232,0.0305644743656137,2.375,0.00121483375959079,0.00122993267736924,0,0,0
"3","AR02_030","AR02",30,"AR","Arendsee","AR1.030",11.460285,52.888519,3.7,9.38,NA,2013,2010.151257,"intra","yes",NA,"measured",23.715,71.81,23.1,1.97,-24.9,4.6,0,3.29,0,0,0,0,0,0,0,0,0,0,1955,2.9,211238,0.22,1.85,4.11,13.72,4620,1037,1931,618,1.15,531.93,6.79,1338.14,11.38,6095,59.02,13.6745081813752,2.29765482451433,0.0121304347826087,0.0367314578005115,0.0118158567774936,0.0010076726342711,-0.0127365728900256,0.00235294117647059,0,0.00168286445012788,0,0,0,0,0,0,0,0,0,0,1,0.00148337595907928,108.050127877238,0.000112531969309463,0.000946291560102302,0.00210230179028133,0.00701790281329923,2.36317135549872,0.530434782608696,0.98772378516624,0.316112531969309,0.000588235294117647,0.272086956521739,0.00347314578005115,0.684470588235294,0.00582097186700767,3.11764705882353,0.0301892583120205,0.0122812014500259,0.0371879854997411,0.0119627136198861,0.00102019678922838,-0.0128948731227343,0.00238218539616779,0,0.00170378042465044,0,0,0,0,0,0,0,0,0,0,1.01242879337131,0.00150181253236665,109.393060590368,0.000113930605903677,0.000958052822371828,0.00212843086483687,0.00710512687726567,2.39254272397721,0.537027446918695,1,0.320041429311238,0.000595546349041947,0.275468669083376,0.00351631279129984,0.69297773174521,0.00589331952356292,3.15639564992232,0.0305644743656137,3.29,0.00168286445012788,0.00170378042465044,0,0,0
"4","AR02_040","AR02",40,"AR","Arendsee","AR1.040",11.460285,52.888519,3.95,13.33,NA,2011,2008.162563,"intra","yes",NA,"measured",18.97,69.9,23.55,1.905,-25.2,4.7,0,4.105,0,0,0,0,0,0,0,0,0,0,2330,4,207179,0.26,1.995,4.715,17.24,5298.5,1022.5,1943.5,613,1.315,468.75,7.445,1231.045,13.43,6478,62.26,14.4165682769797,2.12932060171198,0.00814163090128755,0.03,0.0101072961373391,0.000817596566523605,-0.0108154506437768,0.00201716738197425,0,0.0017618025751073,0,0,0,0,0,0,0,0,0,0,1,0.00171673819742489,88.918025751073,0.000111587982832618,0.000856223175965665,0.00202360515021459,0.00739914163090129,2.27403433476395,0.438841201716738,0.83412017167382,0.263090128755365,0.000564377682403433,0.20118025751073,0.00319527896995708,0.528345493562232,0.00576394849785408,2.78025751072961,0.0267210300429185,0.00976074093130949,0.0359660406483149,0.0121173141240031,0.000980190378183689,-0.0129662979161307,0.00241831746848469,0,0.00211216876768716,0,0,0,0,0,0,0,0,0,0,1.1988680216105,0.00205814252636995,106.6009776177,0.000133779264214047,0.00102649858502701,0.00242603550295858,0.00887059428865449,2.7262670439928,0.526112683303319,1,0.315410342166195,0.000676614355544121,0.241188577308979,0.00383071777720607,0.633416516593774,0.00691021353228711,3.33316182145614,0.0320349884229483,4.105,0.0017618025751073,0.00211216876768716,0,0,0
"5","AR02_050","AR02",50,"AR","Arendsee","AR1.050",11.460285,52.888519,4.2,17.53,NA,2009,2006.17387,"intra","yes",NA,"measured",20.225,67.99,24,1.84,-25.5,4.8,0,4.92,0,0,0,0,0,0,0,0,0,0,2705,5.1,203120,0.3,2.14,5.32,20.76,5977,1008,1956,608,1.48,405.57,8.1,1123.95,15.48,6861,65.5,15.2110565315128,1.99920447165561,0.00747689463955638,0.0251349353049908,0.0088724584103512,0.000680221811460259,-0.00942698706099815,0.00177449168207024,0,0.001818853974122,0,0,0,0,0,0,0,0,0,0,1,0.00188539741219963,75.090573012939,0.00011090573012939,0.000791127541589649,0.00196672828096118,0.00767467652495379,2.20961182994455,0.37264325323475,0.723105360443623,0.224768946395564,0.000547134935304991,0.149933456561922,0.00299445471349353,0.41550831792976,0.00572273567467653,2.53641404805915,0.0242144177449168,0.0103399795501022,0.0347597137014315,0.0122699386503067,0.000940695296523517,-0.0130368098159509,0.00245398773006135,0,0.00251533742331288,0,0,0,0,0,0,0,0,0,0,1.38292433537832,0.00260736196319018,103.844580777096,0.000153374233128834,0.00109406952965235,0.002719836400818,0.0106134969325153,3.05572597137014,0.515337423312883,1,0.310838445807771,0.000756646216768916,0.207346625766871,0.00414110429447853,0.574616564417178,0.00791411042944785,3.50766871165644,0.0334867075664622,4.92,0.001818853974122,0.00251533742331288,0,0,0
"6","AR02_060","AR02",60,"AR","Arendsee","AR1.060",11.460285,52.888519,5.15,22.67,NA,2007,2004.185176,"intra","yes",NA,"measured",21.48,69.935,22.35,1.485,-24.75,4.6,0,5.735,0,2.035,0,0,0,0,0,0,0,0,2602.5,4.865,208097.5,0.3,2.1,5.06,19.16,5679.5,945.5,1940,576,1.26,361.245,7.245,1027.325,15.57,6612,62.095,17.5516130415806,2.02756969783637,0.0082536023054755,0.0268722382324688,0.00858789625360231,0.000570605187319885,-0.00951008645533141,0.00176753121998079,0,0.00220365033621518,0,0.000781940441882805,0,0,0,0,0,0,0,0,1,0.00186935638808838,79.9606147934678,0.000115273775216138,0.000806916426512968,0.00194428434197887,0.00736215177713737,2.18232468780019,0.363304514889529,0.745437079731028,0.221325648414986,0.000484149855907781,0.138806916426513,0.00278386167146974,0.394745437079731,0.00598270893371758,2.54063400576369,0.0238597502401537,0.0110721649484536,0.0360489690721649,0.011520618556701,0.000765463917525773,-0.0127577319587629,0.00237113402061856,0,0.00295618556701031,0,0.00104896907216495,0,0,0,0,0,0,0,0,1.34149484536082,0.00250773195876289,107.26675257732,0.000154639175257732,0.00108247422680412,0.00260824742268041,0.00987628865979381,2.92757731958763,0.487371134020619,1,0.296907216494845,0.000649484536082474,0.186208762886598,0.00373453608247423,0.529548969072165,0.00802577319587629,3.40824742268041,0.0320077319587629,7.77,0.00298559077809798,0.00400515463917526,0,0,0
"7","AR02_070","AR02",70,"AR","Arendsee","AR1.070",11.460285,52.888519,6.09,28.76,NA,2005,2002.196483,"intra","yes",NA,"measured",19.785,71.88,20.7,1.13,-24,4.4,0,6.55,0,4.07,0,0,0,0,0,0,0,0,2500,4.63,213075,0.3,2.06,4.8,17.56,5382,883,1924,544,1.04,316.92,6.39,930.7,15.66,6363,58.69,21.3627847039918,2.05907080465213,0.007914,0.028752,0.00828,0.000452,-0.0096,0.00176,0,0.00262,0,0.001628,0,0,0,0,0,0,0,0,1,0.001852,85.23,0.00012,0.000824,0.00192,0.007024,2.1528,0.3532,0.7696,0.2176,0.000416,0.126768,0.002556,0.37228,0.006264,2.5452,0.023476,0.010283264033264,0.0373596673596674,0.0107588357588358,0.000587318087318087,-0.0124740124740125,0.00228690228690229,0,0.0034043659043659,0,0.00211538461538462,0,0,0,0,0,0,0,0,1.2993762993763,0.00240644490644491,110.745841995842,0.000155925155925156,0.00107068607068607,0.00249480249480249,0.00912681912681913,2.7972972972973,0.458939708939709,1,0.282744282744283,0.000540540540540541,0.164719334719335,0.00332120582120582,0.483731808731809,0.00813929313929314,3.30717255717256,0.030504158004158,10.62,0.004248,0.00551975051975052,0,0,0
"8","AR02_080","AR02",80,"AR","Arendsee","AR1.080",11.460285,52.888519,6.77,35.53,NA,2002,2000.207789,"intra","yes",NA,"measured",18.09,70.989,20.61,1.177,-24.01,4.44,0.428,11.621,4.144,13.132,0,0,0,0,0,0,0,0,2768.5,4.455,227831.5,0.27,1.96,5.215,19.78,5459,948,1995,555.5,0.975,301.865,6.495,899.81,16.935,6601,55.87,20.420552612951,2.105957921671,0.0065342243091927,0.0256416832219613,0.0074444645114683,0.000425139967491421,-0.00867256637168142,0.00160375654686653,0.000154596351815062,0.00419757991692252,0.0014968394437421,0.00474336283185841,0,0,0,0,0,0,0,0,1,0.00160917464330865,82.2942026368069,9.75257359581001e-05,0.000707964601769912,0.00188369152970923,0.00714466317500452,1.97182589850099,0.342423695141774,0.720606826801517,0.200650171573054,0.000352176268737584,0.109035578833303,0.00234603575943652,0.3250171573054,0.00611703088314972,2.38432364096081,0.0201806032147372,0.00906766917293233,0.0355834586466165,0.0103308270676692,0.000589974937343358,-0.0120350877192982,0.00222556390977444,0.00021453634085213,0.0058250626566416,0.00207719298245614,0.00658245614035088,0,0,0,0,0,0,0,0,1.38771929824561,0.00223308270676692,114.201253132832,0.000135338345864662,0.000982456140350877,0.0026140350877193,0.00991478696741855,2.73634085213033,0.475187969924812,1,0.278446115288221,0.000488721804511278,0.151310776942356,0.00325563909774436,0.451032581453634,0.00848872180451128,3.30877192982456,0.0280050125313283,29.325,0.0105923785443381,0.0146992481203008,0,0,0
"9","AR02_090","AR02",90,"AR","Arendsee","AR1.090",11.460285,52.888519,7.45,42.98,NA,2000,1998.219096,"intra","yes",NA,"measured",12.655,70.098,20.52,1.224,-24.02,4.48,0.856,16.692,8.288,22.194,0,0,0,0,0,0,0,0,3037,4.28,242588,0.24,1.86,5.63,22,5536,1013,2066,567,0.91,286.81,6.6,868.92,18.21,6839,53.05,19.5506814831502,2.15154073666297,0.00416694106025683,0.0230813302601251,0.00675666776424103,0.00040302930523543,-0.00790912084293711,0.00147513994073098,0.000281857095818242,0.00549621336845571,0.00272900889035232,0.00730786960816595,0,0,0,0,0,0,0,0,1,0.00140928547909121,79.87751070135,7.90253539677313e-05,0.000612446493249918,0.0018538030951597,0.00724399078037537,1.822851498189,0.333552848205466,0.680276588738887,0.186697398748765,0.000299637800460981,0.0944385907145209,0.00217319723411261,0.286111294040171,0.00599604873230161,2.25189331577214,0.0174678959499506,0.00612536302032914,0.0339293320425944,0.00993223620522749,0.000592449177153921,-0.0116263310745402,0.00216844143272023,0.00041432720232333,0.00807938044530494,0.00401161665053243,0.0107424975798645,0,0,0,0,0,0,0,0,1.46999031945789,0.00207163601161665,117.419167473379,0.000116166505324298,0.000900290416263311,0.00272507260406583,0.010648596321394,2.67957405614714,0.490319457889642,1,0.274443368828654,0.000440464666021297,0.138823814133591,0.0031945788964182,0.420580832526621,0.00881413359148112,3.31026137463698,0.0256776379477251,48.03,0.0158149489627922,0.0232478218780252,0,0,0
"10","AR02_100","AR02",100,"AR","Arendsee","AR1.100",11.460285,52.888519,11.95,54.93,2.59,1995,1996.230402,"intra","yes",NA,"measured",7.22,69.207,20.43,1.271,-24.03,4.52,1.284,21.763,12.432,31.256,0,0,0,0,0,0,0,0,1903,2.495,271926,0.14,1.105,3.73,15.6,3861,658.5,2347,477.5,0.655,224.545,4.295,537.31,9.52,4878.5,25.75,18.7451438594087,2.20059214656127,0.00379400945874934,0.0363673147661587,0.0107356805044666,0.000667892800840778,-0.0126274303730951,0.00237519705727798,0.000674724119810825,0.0114361534419338,0.00653284287966369,0.0164245927482922,0,0,0,0,0,0,0,0,1,0.00131108775617446,142.893326326852,7.35680504466632e-05,0.00058066211245402,0.00196006305832895,0.00819758276405675,2.02890173410405,0.346032580136626,1.23331581713085,0.250919600630583,0.00034419337887546,0.117995270625328,0.0022569626904887,0.282348922753547,0.00500262743037309,2.5635838150289,0.0135312664214398,0.00307626757562846,0.0294874307626758,0.00870472944184065,0.000541542394546229,-0.0102386024712399,0.00192586280357904,0.000547081380485727,0.00927268853855986,0.00529697486152535,0.0133174265019173,0,0,0,0,0,0,0,0,0.810822326374095,0.00106305922454197,115.861099275671,5.96506178099702e-05,0.000470813804857265,0.00158926288879421,0.00664678312739668,1.64507882403068,0.28057094162761,1,0.203451214316148,0.00027907967618236,0.0956731998295697,0.00182999573924158,0.228934810396251,0.00405624201107797,2.07861099275671,0.0109714529186195,66.735,0.0350683131897005,0.0284341712824883,0,0,0
